temp,feelslike,feelslike,feelslike,feelslike,windspeed
17.5,17.5,18.5,19.5,20.5,19.3
17.2,17.2,18.2,19.2,20.2,18.6
21.4,21.5,22.5,23.5,24.5,26.8
24.5,24.7,25.7,26.7,27.7,19.2
24.3,24.6,25.6,26.6,27.6,8.5
23.7,24,25,26,27,12.9
21.5,21.4,22.4,23.4,24.4,17.2
22.3,22.4,23.4,24.4,25.4,23.9
21,21,22,23,24,17.5
20.5,20.5,21.5,22.5,23.5,14
21.1,21.1,22.1,23.1,24.1,13.8
21.8,21.8,22.8,23.8,24.8,13.6
21.3,21.3,22.3,23.3,24.3,16.1
21.4,21.4,22.4,23.4,24.4,14.6
22.2,22.4,23.4,24.4,25.4,18.6
24.1,24.4,25.4,26.4,27.4,21.4
23.5,23.6,24.6,25.6,26.6,31.2
21.6,21.6,22.6,23.6,24.6,23.8
19.5,19.5,20.5,21.5,22.5,15.6
23.8,24.1,25.1,26.1,27.1,17.5
21.9,21.9,22.9,23.9,24.9,16
14.7,14.7,15.7,16.7,17.7,28.4
13.3,13.2,14.2,15.2,16.2,25.3
14.5,14.5,15.5,16.5,17.5,12.4
14.8,14.8,15.8,16.8,17.8,12.8
16.1,16,17,18,19,18.3
18.1,18.1,19.1,20.1,21.1,33.6
12.7,12.7,13.7,14.7,15.7,14.8
13,13,14,15,16,13.9
19.3,19.3,20.3,21.3,22.3,27.5
15.5,15.5,16.5,17.5,18.5,29.8
11.8,11.8,12.8,13.8,14.8,22.2
10,10,11,12,13,22
11.3,10.6,11.6,12.6,13.6,17.5
13.8,13.8,14.8,15.8,16.8,15.7
13.7,13.7,14.7,15.7,16.7,16.4
13.7,13.7,14.7,15.7,16.7,21.4
9.9,9.5,10.5,11.5,12.5,11.4
7.4,6,7,8,9,15
4.7,4.4,5.4,6.4,7.4,8.6
5,4.8,5.8,6.8,7.8,12.3
6,5.6,6.6,7.6,8.6,13.1
6.6,6.6,7.6,8.6,9.6,6.4
8.2,8.2,9.2,10.2,11.2,5.3
11.7,11.6,12.6,13.6,14.6,14.6
13.1,12.9,13.9,14.9,15.9,17.5
15.7,15.7,16.7,17.7,18.7,17
13.1,13,14,15,16,32.9
7.9,5.8,6.8,7.8,8.8,32.7
4,0.9,1.9,2.9,3.9,17.4
4.4,0.7,1.7,2.7,3.7,40.8
3.7,1.3,2.3,3.3,4.3,18.4
10.6,10.2,11.2,12.2,13.2,16.5
18.7,18.7,19.7,20.7,21.7,29.8
8.1,5.4,6.4,7.4,8.4,25.3
2.3,-0.2,0.8,1.8,2.8,16.5
7.1,6,7,8,9,22.3
8.3,7,8,9,10,14.6
2.7,-0.1,0.9,1.9,2.9,17.9
1.2,0.1,1.1,2.1,3.1,11.3
7.1,5.6,6.6,7.6,8.6,25.8
8.6,6.5,7.5,8.5,9.5,31.4
